content,channel,customerLabel
"The new dark mode is amazing! It really helps reduce eye strain during late-night coding.",APP,Premium User
"I've been experiencing significant lag when trying to load the analytics dashboard. Please fix this.",WIDGET,Pro User
"Can you guys add a feature to export the AI reports to PDF? That would be super helpful for my team meetings.",PORTAL,Basic User
"Honestly, the pricing is a bit too high for small startups like us. We might have to switch.",EMAIL,Churn Risk
"Great app overall, but the mobile version crashes sometimes when I open settings.",APP,
"I love how fast the AI classifies our customer feedback! It saves us hours of manual tagging.",WIDGET,Enterprise User
"It would be great if we could customize the colors of the feedback widget to match our brand.",PORTAL,
"I couldn't find the password reset email, it went to my spam folder.",EMAIL,
"Your customer support team was incredibly helpful in resolving my billing issue today. Thank you!",MANUAL,
"Please add an integration with Slack. We need to be notified when bad feedback arrives.",APP,Premium User
